Address_URL,Price,Address,Beds,Baths,Parking,Size,Type,format,unit,street_number,street_name,lot_number,suburb,state,postcode,lat,lon
https://www.domain.com.au/doolandella-qld-4077-2020342759,1607000.0,DOOLANDELLA QLD 4077,6.0,4.0,2.0,700.0,New house and land,simple_format,,,,,Doolandella,QLD,4077,-27.6170218,152.982537
https://www.domain.com.au/yarrabilba-qld-4207-2020341872,962000.0,YARRABILBA QLD 4207,4.0,2.0,2.0,750.0,New house and land,simple_format,,,,,Yarrabilba,QLD,4207,-27.8030098,153.1081584
https://www.domain.com.au/park-ridge-qld-4125-2020342847,939000.0,PARK RIDGE QLD 4125,4.0,2.0,2.0,400.0,New house and land,simple_format,,,,,Park Ridge,QLD,4125,-27.6987848,153.0481122
https://www.domain.com.au/lawnton-qld-4501-2020354728,1215000.0,LAWNTON QLD 4501,4.0,2.0,2.0,400.0,New house and land,simple_format,,,,,Lawnton,QLD,4501,-27.2826166,152.9808511
https://www.domain.com.au/aratula-qld-4309-2020336409,763000.0,ARATULA QLD 4309,4.0,2.0,2.0,1365.0,New house and land,simple_format,,,,,Aratula,QLD,4309,-27.9830985,152.5391088
https://www.domain.com.au/yarrabilba-qld-4207-2020332727,1400000.0,YARRABILBA QLD 4207,6.0,3.0,3.0,745.0,New house and land,simple_format,,,,,Yarrabilba,QLD,4207,-27.8030098,153.1081584
https://www.domain.com.au/south-maclean-qld-4280-2020332756,905000.0,SOUTH MACLEAN QLD 4280,4.0,2.0,2.0,435.0,New house and land,simple_format,,,,,South Maclean,QLD,4280,-27.7973505,153.0006669
https://www.domain.com.au/walloon-qld-4306-2020342791,785000.0,WALLOON QLD 4306,4.0,2.0,2.0,500.0,New house and land,simple_format,,,,,Walloon,QLD,4306,-27.6054525,152.6654952
https://www.domain.com.au/rochedale-qld-4123-2020333740,1395000.0,ROCHEDALE QLD 4123,4.0,2.0,2.0,340.0,New house and land,simple_format,,,,,Rochedale,QLD,4123,-27.570167,153.126907
https://www.domain.com.au/lawnton-qld-4501-2020332418,1054000.0,LAWNTON QLD 4501,4.0,2.0,2.0,555.0,New house and land,simple_format,,,,,Lawnton,QLD,4501,-27.2826166,152.9808511
https://www.domain.com.au/rochedale-qld-4123-2020333739,1267000.0,ROCHEDALE QLD 4123,4.0,2.0,2.0,340.0,New house and land,simple_format,,,,,Rochedale,QLD,4123,-27.570167,153.126907
https://www.domain.com.au/coral-cove-qld-4670-2020341844,775000.0,CORAL COVE QLD 4670,4.0,2.0,2.0,565.0,New house and land,simple_format,,,,,Coral Cove,QLD,4670,-24.8821923,152.482781
https://www.domain.com.au/lawnton-qld-4501-2020354717,1024000.0,LAWNTON QLD 4501,4.0,2.0,2.0,625.0,New house and land,simple_format,,,,,Lawnton,QLD,4501,-27.2826166,152.9808511
https://www.domain.com.au/pialba-qld-4655-2020303270,835000.0,PIALBA QLD 4655,4.0,2.0,2.0,615.0,New house and land,simple_format,,,,,Pialba,QLD,4655,-25.281161,152.8330071
https://www.domain.com.au/morayfield-qld-4506-2020310223,1029000.0,MORAYFIELD QLD 4506,5.0,3.0,2.0,355.0,New house and land,simple_format,,,,,Morayfield,QLD,4506,-27.1102549,152.948924
https://www.domain.com.au/boondall-qld-4034-2020306238,1180000.0,BOONDALL QLD 4034,4.0,2.0,2.0,435.0,New house and land,simple_format,,,,,Boondall,QLD,4034,-27.3501466,153.065654
