Address_URL,Price,Address,Beds,Baths,Parking,Size,Type,Sold_by
https://www.domain.com.au/15-lillypilly-road-beveridge-vic-3753-2020291185,"$625,100 ","15 Lillypilly Road, 
BEVERIDGE VIC 3753","4
Beds","2
Baths","2
Parking",381m² ,House,SOLD AT AUCTION 20 OCT 2025
https://www.domain.com.au/6-richard-street-biggenden-qld-4621-2020155942,"$600,000 ","6 Richard Street, 
BIGGENDEN QLD 4621","4
Beds","2
Baths","9
Parking","1,510m² ",House,
https://www.domain.com.au/51-11-treasure-island-drive-biggera-waters-qld-4216-2020276509,"$680,000 ","51/11 Treasure Island Drive, 
BIGGERA WATERS QLD 4216","3
Beds","2
Baths","1
Parking",,Retirement Living,
https://www.domain.com.au/1-8-lyrebird-close-blackbutt-nsw-2529-2020249542,"$885,000 ","1/8 Lyrebird Close, 
BLACKBUTT NSW 2529","3
Beds","2
Baths","2
Parking",,Duplex,
https://www.domain.com.au/1-3-5-hastings-parade-bondi-beach-nsw-2026-2020355169,"$1,230,000 ","1/3-5 Hastings Parade, 
BONDI BEACH NSW 2026","2
Beds","1
Bath",− Parking,,Apartment / Unit / Flat,SOLD BY PRIVATE TREATY 20 OCT 2025
https://www.domain.com.au/48-rainbow-beach-drive-bonny-hills-nsw-2445-2020287212,"$1,300,000 ","48 Rainbow Beach Drive, 
BONNY HILLS NSW 2445","5
Beds","2
Baths","2
Parking",914m² ,House,SOLD BY PRIVATE TREATY 20 OCT 2025
https://www.domain.com.au/110-banksia-street-botany-nsw-2019-2020333861,"$3,600,000 ","110 Banksia Street, 
BOTANY NSW 2019","5
Beds","3
Baths","4
Parking",,House,SOLD PRIOR TO AUCTION 20 OCT 2025
https://www.domain.com.au/12-cart-street-box-hill-nsw-2765-2020327065,"$1,062,000 ","12 Cart Street, 
BOX HILL NSW 2765","3
Beds","2
Baths","1
Parking",225m² ,House,SOLD PRIOR TO AUCTION 20 OCT 2025
https://www.domain.com.au/120-hannaford-avenue-box-hill-nsw-2765-2020280689,"$1,415,000 ","120 Hannaford Avenue, 
BOX HILL NSW 2765","5
Beds","3
Baths","1
Parking",300m² ,House,SOLD BY PRIVATE TREATY 20 OCT 2025
https://www.domain.com.au/4-3-vine-street-braybrook-vic-3019-2020294010,"$635,000 ","4/3 Vine Street, 
BRAYBROOK VIC 3019","2
Beds","2
Baths","1
Parking",,Townhouse,SOLD BY PRIVATE TREATY 20 OCT 2025
https://www.domain.com.au/18-sheridan-park-avenue-broadbeach-waters-qld-4218-2020276909,"$3,640,000 ","18 Sheridan Park Avenue, 
BROADBEACH WATERS QLD 4218","4
Beds","4
Baths","4
Parking",918m² ,House,SOLD AT AUCTION 20 OCT 2025
